round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,0,o7cccu51,p1,1,0,0,0,nan,yd3ukoco,p2,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,1,o7cccu51,p1,0,600,500,0,nan,yd3ukoco,p2,0,600,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,2,o7cccu51,p1,0,100,200,0,nan,yd3ukoco,p2,0,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,3,o7cccu51,p1,0,100,200,0,nan,yd3ukoco,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,4,o7cccu51,p1,0,267,300,0,nan,yd3ukoco,p2,1,350,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,5,o7cccu51,p1,0,350,350,0,nan,yd3ukoco,p2,1,267,300,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,6,o7cccu51,p1,1,400,380,0,nan,yd3ukoco,p2,1,225,275,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,7,o7cccu51,p1,1,600,500,0,nan,yd3ukoco,p2,1,300,320,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,8,o7cccu51,p1,1,600,500,0,nan,yd3ukoco,p2,1,350,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,80,20,1.0,False,False,2,BM1,3,True,dlpeimt2,101,3,9,o7cccu51,p1,0,600,500,0,nan,yd3ukoco,p2,1,386,371,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
