round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target,p11_code,p11_role,p11_strategy,p11_regret0,p11_regret1,p11_regret2,p11_target,p12_code,p12_role,p12_strategy,p12_regret0,p12_regret1,p12_regret2,p12_target
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,0,1w9u5scv,p1,1,0,0,0,nan,t4y17xlf,p2,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,1,1w9u5scv,p1,0,0,100,0,nan,t4y17xlf,p2,1,0,100,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,2,1w9u5scv,p1,0,200,100,0,nan,t4y17xlf,p2,0,0,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,3,1w9u5scv,p1,0,350,100,0,nan,t4y17xlf,p2,0,500,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,4,1w9u5scv,p1,0,400,100,0,nan,t4y17xlf,p2,0,500,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,5,1w9u5scv,p1,1,425,100,0,nan,t4y17xlf,p2,1,500,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,6,1w9u5scv,p1,0,425,100,0,nan,t4y17xlf,p2,0,500,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,7,1w9u5scv,p1,0,440,100,0,nan,t4y17xlf,p2,0,500,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,8,1w9u5scv,p1,0,450,100,0,nan,t4y17xlf,p2,0,500,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,9,1w9u5scv,p1,0,457,100,0,nan,t4y17xlf,p2,0,500,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,10,1w9u5scv,p1,1,463,100,0,nan,t4y17xlf,p2,0,500,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,80,20,1,FALSE,FALSE,2,BM2,2,TRUE,zepokgc0,252,6,11,1w9u5scv,p1,1,463,267,0,nan,t4y17xlf,p2,1,463,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
